,overall,relaxing,party,movie,predicted_value
0,160,158,155,134,1181.1865809467072
1,147,136,150,119,696.6909299913577
2,147,141,148,123,841.4128078385797
3,146,148,137,117,1057.9731793515207
4,145,135,141,110,669.3430079881477
5,145,137,140,126,623.7145090992958
6,144,145,135,111,1010.5141108483481
7,144,141,135,118,804.9178995974457
8,139,134,128,106,662.1019276707366
9,137,140,120,106,856.4357787433983
10,137,136,139,114,858.7010847030333
11,136,132,126,115,573.3887964997748
12,136,126,125,112,348.611080930169
13,136,130,135,115,596.9928163145455
14,135,120,138,98,384.64979709203044
15,133,128,137,103,701.1842022371648
16,130,127,109,110,371.5637444685017
17,129,132,110,116,561.2792823577865
18,128,116,136,113,276.06509156925677
19,127,120,115,99,318.4955204777716
20,126,122,122,96,522.0753634355178
21,125,124,101,105,324.59124691523357
22,124,116,137,91,542.5762888452355
23,124,135,93,101,717.3938131334744
24,124,124,119,96,616.5851128953063
25,122,120,110,102,366.4818125522447
26,120,112,130,89,421.59899731377254
27,115,113,112,77,467.12106390185727
28,114,120,87,100,321.42237283080794
29,113,107,109,96,115.28032937180228
30,113,115,100,98,312.1754727132902
31,112,116,96,87,408.5026709394815
32,109,112,101,87,384.05774083984943
33,109,105,104,61,327.15403566712575
34,108,113,77,92,141.67584808521724
35,107,107,77,93,-74.79176145944962
36,105,106,95,68,315.74056049484625
37,105,104,102,83,211.25006642359244
38,104,104,91,75,168.21754348836225
39,103,108,80,88,133.89608747102238
40,101,99,97,91,3.4832500460515803
41,98,102,83,60,255.7812907074972
42,98,97,108,73,251.65579215291154
43,92,93,93,58,181.8609238115364
44,48,64,42,23,-177.0080713021366
