price,overall,relaxing,party,movie
899,160,158,155,134
349,147,136,150,119
499,147,141,148,123
799,146,148,137,117
2250,145,135,141,110
399,145,137,140,126
1490,144,145,135,111
349,144,141,135,118
369,139,134,128,106
479,137,140,120,106
1690,137,136,139,114
493,136,132,126,115
300,136,126,125,112
499,136,130,135,115
399,135,120,138,98
1590,133,128,137,103
450,130,127,109,110
199,129,132,110,116
499,128,116,136,113
179,127,120,115,99
349,126,122,122,96
149,125,124,101,105
199,124,116,137,91
1549,124,135,93,101
499,124,124,119,96
229,122,120,110,102
299,120,112,130,89
400,115,113,112,77
169,114,120,87,100
329,113,107,109,96
149,113,115,100,98
100,112,116,96,87
100,109,112,101,87
50,109,105,104,61
199,108,113,77,92
199,107,107,77,93
499,105,106,95,68
200,105,104,102,83
80,104,104,91,75
129,103,108,80,88
299,101,99,97,91
100,98,102,83,60
139,98,97,108,73
40,92,93,93,58
20,48,64,42,23
